,ingredient_id,recipe_id,ingredient_name,original_ingredient_amount,original_ingredient_unit,ingredient_remainder,recipe_source,new_ingredient_amount,new_ingredient_unit,common_ingredient_name,ingredient_category,default_unit
2447,Y158_00,Y158,rice noodles,8.0,oz.,"(flat, found in the Asian section in most grocery stores - may sub fettuccine noodles in a pinch, cooked al dente according to package instructions)",yummly,8.0,ounce,rice noodle,noodle / spaghetti,ounce
2448,Y158_01,Y158,boneless skinless chicken breast,1.0,,,yummly,8.0,ounce,chicken breast,meat,ounce
2449,Y158_02,Y158,salt,0.5,inch,,yummly,0.01041666665625,tablespoon,salt,sauce / salt,tablespoon
2450,Y158_03,Y158,eggs,2.0,,,yummly,2.0,unit,egg,egg,unit
2451,Y158_04,Y158,bean sprouts,1.0,cup,(fresh),yummly,1.0,cup,bean sprout,vegetable,cup
2452,Y158_05,Y158,sliced green onions,0.3333333333333333,cup,,yummly,0.3333333333333333,cup,scallion / spring onion / green onion,vegetable,cup
2453,Y158_06,Y158,white onion,0.25,cup,(sliced),yummly,0.25,cup,white onion,onion,cup
2454,Y158_07,Y158,cilantro,0.3333333333333333,cup,(roughly chopped),yummly,5.333333333333333,tablespoon,coriander / cilantro,herbs,tablespoon
2455,Y158_08,Y158,peanuts,,,(optional:),yummly,,tablespoon,peanut,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
2456,Y158_09,Y158,ketchup,0.25,cup,,yummly,4.0,tablespoon,ketchup,sauce / salt,tablespoon
2457,Y158_10,Y158,fish sauce,2.0,Tbsp.,(found in the Asian section at most grocery stores),yummly,2.0,tablespoon,fish sauce,sauce / salt,tablespoon
2458,Y158_11,Y158,sugar,2.0,Tbsp.,,yummly,2.0,tablespoon,sugar,sugar / sweeteners / syrup,tablespoon
2459,Y158_12,Y158,minced garlic,1.0,tsp.,,yummly,1.0,clove,garlic,herbs,clove
2460,Y158_13,Y158,peanut butter,1.0,tsp.,,yummly,0.333333333,tablespoon,peanut butter,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
2461,Y158_14,Y158,lime,1.0,,,yummly,1.0,unit,lime,lime / lemon,unit
2462,Y158_15,Y158,crushed red pepper flakes,0.5,tsp.,,yummly,0.5,teaspoon,chili flakes,chili / pepper,teaspoon
2463,Y158_16,Y158,soy sauce,1.0,tsp.,,yummly,0.333333333,tablespoon,soy sauce,sauce / salt,tablespoon
2464,Y159_00,Y159,meat,0.75,lb.,"(your choice, such as chicken, pork, beef, or a combination cut into 2 inch strips)",yummly,12.0,ounce,meat,meat,ounce
2465,Y159_01,Y159,extra firm tofu,4.0,oz.,(cut into 1.5 inch strips),yummly,4.0,ounce,firm tofu,tofu,ounce
2466,Y159_02,Y159,large shrimp,8.0,,"(cleaned, with Tails)",yummly,2.4,ounce,shrimp,meat,ounce
2467,Y159_03,Y159,rice noodles,8.0,oz.,"(Medium, #10 Thai)",yummly,8.0,ounce,rice noodle,noodle / spaghetti,ounce
2468,Y159_04,Y159,grapeseed oil,0.25,cup,(or Vegetable or Peanut Oil),yummly,4.0,tablespoon,grapeseed oil,oil,tablespoon
2469,Y159_05,Y159,scallions,3.0,,(tops separated from white/greenish roots),yummly,0.75,cup,scallion / spring onion / green onion,vegetable,cup
2470,Y159_06,Y159,garlic,1.5,tsp.,"(Fresh, minced)",yummly,1.5,clove,garlic,herbs,clove
2471,Y159_07,Y159,eggs,2.0,,,yummly,2.0,unit,egg,egg,unit
2472,Y159_08,Y159,chicken stock,1.5,cups,(/Broth),yummly,1.5,cup,chicken stock,broth / stock,cup
2473,Y159_09,Y159,tamarind paste,3.0,Tbsp.,,yummly,3.0,tablespoon,tamarind concentrate / tamarind paste / tamarind juice,herbs,tablespoon
2474,Y159_10,Y159,brown sugar,0.3333333333333333,cup,(packed),yummly,5.333333333333333,tablespoon,brown sugar,sugar / sweeteners / syrup,tablespoon
2475,Y159_11,Y159,fish sauce,2.0,Tbsp.,,yummly,2.0,tablespoon,fish sauce,sauce / salt,tablespoon
2476,Y159_12,Y159,lime juice,1.0,Tbsp.,(Freshly Squeezed),yummly,1.0,tablespoon,lime juice,lime / lemon,tablespoon
2477,Y159_13,Y159,tomato paste,1.0,Tbsp.,(single strength),yummly,1.0,tablespoon,tomato paste,sauce / salt,tablespoon
2478,Y159_14,Y159,chili paste,1.0,tsp.,(Sambal Oelek),yummly,1.0,teaspoon,chili paste,chili / pepper,teaspoon
2479,Y159_15,Y159,medium carrot,1.0,,(shaved into ribbonss),yummly,0.666666667,cup,carrot,vegetable,cup
2480,Y159_16,Y159,bean sprouts,1.0,cup,,yummly,1.0,cup,bean sprout,vegetable,cup
2481,Y159_17,Y159,cilantro leaves,0.5,cup,"(Fresh, chopped)",yummly,8.0,tablespoon,coriander / cilantro,herbs,tablespoon
2482,Y159_18,Y159,unsalted roasted peanuts,0.5,cup,(crushed),yummly,8.0,tablespoon,peanut,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
2483,Y159_19,Y159,lime wedge,1.0,,(cut into wedges),yummly,1.0,unit,lime wedge,lime / lemon,unit
2484,Y160_00,Y160,rice noodles,300.0,grams,,yummly,10.582188,ounce,rice noodle,noodle / spaghetti,ounce
2485,Y160_01,Y160,red pepper,1.0,,(sliced),yummly,1.0,unit,pepper,chili / pepper,unit
2486,Y160_02,Y160,broccoli florets,1.0,cup,,yummly,1.0,cup,broccoli,vegetable,cup
2487,Y160_03,Y160,bean sprouts,1.0,cup,,yummly,1.0,cup,bean sprout,vegetable,cup
2488,Y160_04,Y160,carrots,2.0,,(sliced),yummly,1.333333333,cup,carrot,vegetable,cup
2489,Y160_05,Y160,green onions,1.0,cup,(sliced),yummly,1.0,cup,scallion / spring onion / green onion,vegetable,cup
2490,Y160_06,Y160,red onion,0.5,,(sliced),yummly,0.333333333,cup,red onion,onion,cup
2491,Y160_07,Y160,garlic,2.0,cloves,,yummly,2.0,clove,garlic,herbs,clove
2492,Y160_08,Y160,peanut oil,1.0,Tbsp.,(or any other oil),yummly,1.0,tablespoon,peanut oil,oil,tablespoon
2493,Y160_09,Y160,tofu,0.5,pkg.,(optional),yummly,7.5,ounce,tofu,tofu,ounce
2494,Y160_10,Y160,ginger,1.0,Tbsp.,(diced),yummly,3.0,teaspoon,minced ginger,herbs,teaspoon
2495,Y160_11,Y160,peanut butter,2.0,Tbsp.,,yummly,2.0,tablespoon,peanut butter,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
2496,Y160_12,Y160,soy sauce,4.0,Tbsp.,,yummly,4.0,tablespoon,soy sauce,sauce / salt,tablespoon
2497,Y160_13,Y160,limes,2.0,,,yummly,2.0,unit,lime,lime / lemon,unit
2498,Y160_14,Y160,agave syrup,2.0,Tbsp.,,yummly,2.0,tablespoon,agave syrup,sugar / sweeteners / syrup,tablespoon
2499,Y160_15,Y160,warm water,0.75,cup,,yummly,0.75,cup,water,water,cup
2500,Y160_16,Y160,sriracha sauce,,,(to taste),yummly,,tablespoon,sriracha sauce,sauce / salt,tablespoon
2501,Y160_17,Y160,peanuts,,,(crushed),yummly,,tablespoon,peanut,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
2502,Y160_18,Y160,green onion,,,(sliced),yummly,,cup,scallion / spring onion / green onion,vegetable,cup
2503,A001_00,A001,"spaghetti squash, halved and seeded",1.0,small,,allrecipes,32.0,ounce,spaghetti squash,noodle / spaghetti,ounce
2504,A001_01,A001,chicken broth,1.5,cups,,allrecipes,1.5,cup,chicken broth,broth / stock,cup
2505,A001_02,A001,peanut butter,3.0,tablespoons,,allrecipes,3.0,tablespoon,peanut butter,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
2506,A001_03,A001,chile-garlic sauce,1.0,tablespoon,,allrecipes,1.0,tablespoon,chili garlic sauce,sauce / salt,tablespoon
2507,A001_04,A001,fish sauce,1.0,tablespoon,,allrecipes,1.0,tablespoon,fish sauce,sauce / salt,tablespoon
2508,A001_05,A001,soy sauce,1.0,tablespoon,,allrecipes,1.0,tablespoon,soy sauce,sauce / salt,tablespoon
2509,A001_06,A001,rice vinegar,1.0,tablespoon,,allrecipes,1.0,tablespoon,vinegar,vinegar,tablespoon
2510,A001_07,A001,oyster sauce,1.0,tablespoon,,allrecipes,1.0,tablespoon,oyster sauce,sauce / salt,tablespoon
2511,A001_08,A001,minced fresh ginger,1.0,teaspoon,,allrecipes,1.0,teaspoon,minced ginger,herbs,teaspoon
2512,A001_09,A001,sesame oil,1.0,teaspoon,,allrecipes,0.333333333,tablespoon,sesame oil,oil,tablespoon
2513,A001_10,A001,ground black pepper,0.25,teaspoon,,allrecipes,0.25,teaspoon,ground black pepper,chili / pepper,teaspoon
2514,A001_11,A001,cold water,3.0,tablespoons,,allrecipes,0.1875,cup,water,water,cup
2515,A001_12,A001,cornstarch,1.0,tablespoon,,allrecipes,1.0,tablespoon,starch,starch / flour,tablespoon
2516,A001_13,A001,olive oil,2.0,tablespoons,,allrecipes,2.0,tablespoon,olive oil,oil,tablespoon
2517,A001_14,A001,broccoli coleslaw mix,1.0,(12 ounce) package,,allrecipes,12.0,ounce,broccoli slaw,vegetable,ounce
2518,A001_15,A001,"zucchini, diced",1.0,,,allrecipes,1.0,unit,zucchini / courgette / baby marrow,vegetable,unit
2519,A001_16,A001,"red bell pepper, diced",1.0,,,allrecipes,1.0,unit,bell pepper,chili / pepper,unit
2520,A001_17,A001,sliced green onions,0.5,cup,,allrecipes,0.5,cup,scallion / spring onion / green onion,vegetable,cup
2521,A001_18,A001,chopped fresh cilantro,0.25,cup,,allrecipes,4.0,tablespoon,coriander / cilantro,herbs,tablespoon
2522,A001_19,A001,cubed cooked chicken breasts,2.0,,,allrecipes,16.0,ounce,chicken breast,meat,ounce
2523,A002_00,A002,bean sprouts,0.75,pound,,allrecipes,3.0,cup,bean sprout,vegetable,cup
2524,A002_01,A002,pad thai rice noodles,6.0,ounces,,allrecipes,6.0,ounce,rice noodle,noodle / spaghetti,ounce
