,ingredient_id,recipe_id,ingredient_name,original_ingredient_amount,original_ingredient_unit,ingredient_remainder,recipe_source,new_ingredient_amount,new_ingredient_unit,common_ingredient_name,ingredient_category,default_unit
813,Y053_03,Y053,lime peel,0.25,tsp.,,yummly,0.08333333325,tablespoon,lime peel,lime / lemon,tablespoon
814,Y053_04,Y053,fish sauce,2.0,Tbsp.,,yummly,2.0,tablespoon,fish sauce,sauce / salt,tablespoon
815,Y053_05,Y053,brown sugar,3.0,tsp.,,yummly,0.999999999,tablespoon,brown sugar,sugar / sweeteners / syrup,tablespoon
816,Y053_06,Y053,lime juice,3.0,tsp.,,yummly,0.999999999,tablespoon,lime juice,lime / lemon,tablespoon
817,Y053_07,Y053,rice vinegar,3.0,tsp.,,yummly,0.999999999,tablespoon,vinegar,vinegar,tablespoon
818,Y053_08,Y053,water,2.0,tsp.,,yummly,0.041666666,cup,water,water,cup
819,Y053_09,Y053,chilli sauce,2.0,tsp.,,yummly,0.666666666,tablespoon,chili sauce,sauce / salt,tablespoon
820,Y053_10,Y053,garlic paste,0.5,tsp.,,yummly,0.5,clove,garlic,herbs,clove
821,Y053_11,Y053,oil,1.5,Tbsp.,,yummly,1.5,tablespoon,oil,oil,tablespoon
822,Y053_12,Y053,cloves,3.0,,(minced),yummly,3.0,unit,clove,herbs,unit
823,Y053_13,Y053,egg,1.0,,,yummly,1.0,unit,egg,egg,unit
824,Y053_14,Y053,spring onions,2.0,Tbsp.,,yummly,0.125,cup,scallion / spring onion / green onion,vegetable,cup
825,Y053_15,Y053,coriander leaves,,,"(– handful, chopped)",yummly,,tablespoon,coriander / cilantro,herbs,tablespoon
826,Y053_16,Y053,bean sprouts,0.5,cup,,yummly,0.5,cup,bean sprout,vegetable,cup
827,Y054_00,Y054,pad thai noodles,8.0,oz.,,yummly,8.0,ounce,rice noodle,noodle / spaghetti,ounce
828,Y054_01,Y054,red bell pepper,1.0,,,yummly,1.0,unit,bell pepper,chili / pepper,unit
829,Y054_02,Y054,carrots,2.0,,,yummly,1.333333333,cup,carrot,vegetable,cup
830,Y054_03,Y054,bean sprouts,1.0,cup,,yummly,1.0,cup,bean sprout,vegetable,cup
831,Y054_04,Y054,green onions,3.0,,(chopped),yummly,0.75,cup,scallion / spring onion / green onion,vegetable,cup
832,Y054_05,Y054,garlic,3.0,cloves,,yummly,3.0,clove,garlic,herbs,clove
833,Y054_06,Y054,oil,2.0,Tbsp.,(I used olive),yummly,2.0,tablespoon,oil,oil,tablespoon
834,Y054_07,Y054,extra firm tofu,0.5,block,,yummly,7.5,ounce,firm tofu,tofu,ounce
835,Y054_08,Y054,garlic powder,0.25,tsp.,,yummly,0.25,teaspoon,garlic powder,herbs,teaspoon
836,Y054_09,Y054,turmeric,0.25,tsp.,,yummly,0.25,teaspoon,turmeric,herbs,teaspoon
837,Y054_10,Y054,salt,0.5,tsp.,,yummly,0.1666666665,tablespoon,salt,sauce / salt,tablespoon
838,Y054_11,Y054,low sodium soy sauce,3.0,Tbsp.,(/tamari),yummly,3.0,tablespoon,soy sauce,sauce / salt,tablespoon
839,Y054_12,Y054,light brown sugar,2.0,Tbsp.,,yummly,2.0,tablespoon,brown sugar,sugar / sweeteners / syrup,tablespoon
840,Y054_13,Y054,rice vinegar,1.0,Tbsp.,,yummly,1.0,tablespoon,vinegar,vinegar,tablespoon
841,Y054_14,Y054,lime juice,1.0,Tbsp.,,yummly,1.0,tablespoon,lime juice,lime / lemon,tablespoon
842,Y054_15,Y054,toasted sesame oil,2.0,tsp.,,yummly,0.666666666,tablespoon,sesame oil,oil,tablespoon
843,Y054_16,Y054,hot sauce,1.0,Tbsp.,(more or less to taste),yummly,1.0,tablespoon,chili sauce,sauce / salt,tablespoon
844,Y054_17,Y054,creamy peanut butter,2.0,Tbsp.,(low or no salt),yummly,2.0,tablespoon,peanut butter,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
845,Y055_00,Y055,brown rice noodles,5.0,oz.,,yummly,5.0,ounce,rice noodle,noodle / spaghetti,ounce
846,Y055_01,Y055,olive oil,2.0,Tbsp.,,yummly,2.0,tablespoon,olive oil,oil,tablespoon
847,Y055_02,Y055,chicken breasts,1.0,lb.,(pounded thinly and cut into 1 inch pieces),yummly,16.0,ounce,chicken breast,meat,ounce
848,Y055_03,Y055,red peppers,1.0,,(sliced into thin pieces),yummly,1.0,unit,pepper,chili / pepper,unit
849,Y055_04,Y055,carrots,2.0,cups,(sliced into thin pieces),yummly,2.0,cup,carrot,vegetable,cup
850,Y055_05,Y055,chopped onion,0.5,cup,,yummly,0.5,cup,onion,onion,cup
851,Y055_06,Y055,garlic,2.0,cloves,(minced),yummly,2.0,clove,garlic,herbs,clove
852,Y055_07,Y055,bean sprouts,1.0,cup,,yummly,1.0,cup,bean sprout,vegetable,cup
853,Y055_08,Y055,eggs,2.0,,,yummly,2.0,unit,egg,egg,unit
854,Y055_09,Y055,peanut butter,1.0,Tbsp.,,yummly,1.0,tablespoon,peanut butter,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
855,Y055_10,Y055,honey,2.0,Tbsp.,,yummly,2.0,tablespoon,honey,sugar / sweeteners / syrup,tablespoon
856,Y055_11,Y055,lime juice,2.0,Tbsp.,,yummly,2.0,tablespoon,lime juice,lime / lemon,tablespoon
857,Y055_12,Y055,rice wine vinegar,1.5,Tbsp.,,yummly,1.5,tablespoon,vinegar,vinegar,tablespoon
858,Y055_13,Y055,fish sauce,0.25,cup,,yummly,4.0,tablespoon,fish sauce,sauce / salt,tablespoon
859,Y055_14,Y055,coconut aminos,0.25,cup,(or low sodium soy sauce),yummly,4.0,tablespoon,coconut aminos,sauce / salt,tablespoon
860,Y055_15,Y055,green onions,0.25,cup,(sliced thinly),yummly,0.25,cup,scallion / spring onion / green onion,vegetable,cup
861,Y055_16,Y055,peanuts,0.333333333,cup,(crushed or chopped),yummly,5.333333328,tablespoon,peanut,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
862,Y055_17,Y055,red pepper flakes,,,(optional),yummly,,teaspoon,chili flakes,chili / pepper,teaspoon
863,Y055_18,Y055,lime wedges,,,(optional),yummly,,unit,lime wedge,lime / lemon,unit
864,Y055_19,Y055,cilantro,,,(optional),yummly,,tablespoon,coriander / cilantro,herbs,tablespoon
865,Y056_00,Y056,extra firm tofu,14.0,oz.,"(pressed and cut into 3/4-inch cubes, *see note)",yummly,14.0,ounce,firm tofu,tofu,ounce
866,Y056_01,Y056,cornstarch,2.0,Tbsp.,,yummly,2.0,tablespoon,starch,starch / flour,tablespoon
867,Y056_02,Y056,salt,0.25,tsp.,,yummly,0.08333333325,tablespoon,salt,sauce / salt,tablespoon
868,Y056_03,Y056,grapeseed oil,1.5,Tbsp.,"(or any oil with high smoke point, more if needed)",yummly,1.5,tablespoon,grapeseed oil,oil,tablespoon
869,Y056_04,Y056,tamari sauce,0.25,cup,"(low sodium, GF if preferred Sub soy sauce)",yummly,4.0,tablespoon,soy sauce,sauce / salt,tablespoon
870,Y056_05,Y056,agave nectar,0.25,cup,(sub with maple syrup),yummly,4.0,tablespoon,agave syrup,sugar / sweeteners / syrup,tablespoon
871,Y056_06,Y056,vegetable broth,3.0,Tbsp.,(low sodium),yummly,0.1875,cup,vegetable broth,broth / stock,cup
872,Y056_07,Y056,rice vinegar,2.0,Tbsp.,,yummly,2.0,tablespoon,vinegar,vinegar,tablespoon
873,Y056_08,Y056,peanut butter,2.0,Tbsp.,(creamy),yummly,2.0,tablespoon,peanut butter,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
874,Y056_09,Y056,sriracha,1.0,Tbsp.,(more to taste),yummly,1.0,tablespoon,sriracha sauce,sauce / salt,tablespoon
875,Y056_10,Y056,pad thai noodles,8.0,oz.,,yummly,8.0,ounce,rice noodle,noodle / spaghetti,ounce
876,Y056_11,Y056,grapeseed oil,1.0,Tbsp.,(or any oil with high smoke point),yummly,1.0,tablespoon,grapeseed oil,oil,tablespoon
877,Y056_12,Y056,green onions,4.0,,"(thinly sliced, separate white and green parts)",yummly,1.0,cup,scallion / spring onion / green onion,vegetable,cup
878,Y056_13,Y056,large carrots,2.0,,"(julienned, matchstick., about 1 cup)",yummly,2.0,cup,carrot,vegetable,cup
879,Y056_14,Y056,garlic,3.0,cloves,(minced or crushed),yummly,3.0,clove,garlic,herbs,clove
880,Y056_15,Y056,mung bean sprouts,1.0,cup,,yummly,1.0,cup,bean sprout,vegetable,cup
881,Y056_16,Y056,cilantro,0.5,cup,(chopped),yummly,8.0,tablespoon,coriander / cilantro,herbs,tablespoon
882,Y056_17,Y056,peanuts,0.333333333,cup,"(crushed or chopped, measured chopped)",yummly,5.333333328,tablespoon,peanut,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
883,Y056_18,Y056,lime wedge,2.0,,(cut into wedges),yummly,2.0,unit,lime wedge,lime / lemon,unit
884,Y057_00,Y057,rice noodles,0.5,,"(pack, approx 7 oz)",yummly,3.5,ounce,rice noodle,noodle / spaghetti,ounce
885,Y057_01,Y057,tofu,0.5,block,(cut into small cubes),yummly,7.5,ounce,tofu,tofu,ounce
886,Y057_02,Y057,vegetable oil,2.0,Tbsp.,,yummly,2.0,tablespoon,vegetable oil,oil,tablespoon
887,Y057_03,Y057,water,0.25,cup,,yummly,0.25,cup,water,water,cup
888,Y057_04,Y057,garlic clove,1.0,,(finely chopped),yummly,1.0,clove,garlic,herbs,clove
889,Y057_05,Y057,garlic chives,1.0,handful,(can sub regular chives),yummly,0.333333333,cup,chinese chive,vegetable,cup
890,Y057_06,Y057,soy,2.0,Tbsp.,(suace),yummly,2.0,tablespoon,soy,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
891,Y057_07,Y057,coconut sugar,1.0,Tbsp.,"(can sub agave, maple syrup)",yummly,1.0,tablespoon,sugar,sugar / sweeteners / syrup,tablespoon
892,Y057_08,Y057,lime,0.5,,,yummly,0.5,unit,lime,lime / lemon,unit
893,Y057_09,Y057,bean sprouts,1.0,cup,,yummly,1.0,cup,bean sprout,vegetable,cup
894,Y057_10,Y057,green onion,1.0,,(chopped),yummly,0.25,cup,scallion / spring onion / green onion,vegetable,cup
895,Y057_11,Y057,peanuts,,,,yummly,,tablespoon,peanut,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
896,Y057_12,Y057,lime,,,,yummly,,unit,lime,lime / lemon,unit
897,Y057_13,Y057,cilantro,,,,yummly,,tablespoon,coriander / cilantro,herbs,tablespoon
898,Y058_00,Y058,thin rice sticks,200.0,grams,(dry flat),yummly,7.054792,ounce,rice vermicelli,noodle / spaghetti,ounce
899,Y058_01,Y058,onion,1.0,,(chopped),yummly,1.0,cup,onion,onion,cup
900,Y058_02,Y058,garlic,4.0,cloves,(crushed),yummly,4.0,clove,garlic,herbs,clove
901,Y058_03,Y058,red chilli,0.5,,"(or more if you prefer of, chopped)",yummly,0.5,unit,red chili,chili / pepper,unit
902,Y058_04,Y058,lime,1.0,,,yummly,1.0,unit,lime,lime / lemon,unit
903,Y058_05,Y058,demerara sugar,0.25,cup,,yummly,4.0,tablespoon,raw sugar,sugar / sweeteners / syrup,tablespoon
904,Y058_06,Y058,fish sauce,2.5,Tbsp.,,yummly,2.5,tablespoon,fish sauce,sauce / salt,tablespoon
905,Y058_07,Y058,cooking oil,5.0,Tbsp.,,yummly,5.0,tablespoon,oil,oil,tablespoon
906,Y058_08,Y058,garlic,3.0,cloves,"(crushed, 1 tbsp.)",yummly,3.0,clove,garlic,herbs,clove
907,Y058_09,Y058,onion,1.0,,(thinly sliced),yummly,1.0,cup,onion,onion,cup
908,Y058_10,Y058,chicken breast,1.0,,"(small, sliced thinly)",yummly,8.0,ounce,chicken breast,meat,ounce
909,Y058_11,Y058,eggs,3.0,,(lightly beaten),yummly,3.0,unit,egg,egg,unit
910,Y058_12,Y058,spring onions,3.0,bunches,"(sliced diagonally, green and white parts separated)",yummly,4.5,cup,scallion / spring onion / green onion,vegetable,cup
911,Y058_13,Y058,light soy sauce,1.0,tsp.,,yummly,0.333333333,tablespoon,soy sauce,sauce / salt,tablespoon
912,Y058_14,Y058,prawns,20.0,,"(medium sized, peeled uncooked)",yummly,6.0,ounce,shrimp,meat,ounce
913,Y058_15,Y058,bean sprouts,0.5,cup,,yummly,0.5,cup,bean sprout,vegetable,cup
914,Y058_16,Y058,peanuts,0.25,cup,(chopped),yummly,4.0,tablespoon,peanut,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
915,Y058_17,Y058,coriander leaves,,,,yummly,,tablespoon,coriander / cilantro,herbs,tablespoon
916,Y058_18,Y058,lime wedges,,,,yummly,,unit,lime wedge,lime / lemon,unit
917,Y059_00,Y059,noodles,8.0,oz.,"(we used pad thai noodles, but feel free to substitute them for another type)",yummly,8.0,ounce,rice noodle,noodle / spaghetti,ounce
918,Y059_01,Y059,sesame oil,2.0,Tbsp.,,yummly,2.0,tablespoon,sesame oil,oil,tablespoon
919,Y059_02,Y059,eggs,2.0,,,yummly,2.0,unit,egg,egg,unit
920,Y059_03,Y059,diced chicken breast,1.0,,,yummly,8.0,ounce,chicken breast,meat,ounce
921,Y059_04,Y059,shallots,0.25,cup,,yummly,0.25,cup,shallot,onion,cup
922,Y059_05,Y059,sauce,0.75,cup,"(pad thai, we used 1/8 cup each of fish sauce, rice vinegar, soy sauce, brown sugar, lime juice, and sriracha)",yummly,12.0,tablespoon,pad thai sauce,sauce / salt,tablespoon
923,Y059_06,Y059,beansprouts,1.0,cup,,yummly,1.0,cup,bean sprout,vegetable,cup
924,Y059_07,Y059,peanuts,0.5,cup,(crushed),yummly,8.0,tablespoon,peanut,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
925,Y059_08,Y059,green onions,0.25,cup,,yummly,0.25,cup,scallion / spring onion / green onion,vegetable,cup
926,Y059_09,Y059,cilantro,0.25,cup,,yummly,4.0,tablespoon,coriander / cilantro,herbs,tablespoon
927,Y060_00,Y060,tofu,8.0,oz.,(chicken breast or peeled prawns),yummly,8.0,ounce,tofu,tofu,ounce
928,Y060_01,Y060,salt,,,,yummly,,tablespoon,salt,sauce / salt,tablespoon
929,Y060_02,Y060,pad thai noodles,4.0,oz.,,yummly,4.0,ounce,rice noodle,noodle / spaghetti,ounce
930,Y060_03,Y060,boiling water,,,,yummly,,cup,water,water,cup
931,Y060_04,Y060,noodles,,,,yummly,,ounce,rice noodle,noodle / spaghetti,ounce
932,Y060_05,Y060,peanut oil,2.0,Tbsp.,,yummly,2.0,tablespoon,peanut oil,oil,tablespoon
933,Y060_06,Y060,shallot,1.0,,"(large, finely diced)",yummly,0.75,cup,shallot,onion,cup
934,Y060_07,Y060,garlic cloves,4.0,,(chopped),yummly,4.0,clove,garlic,herbs,clove
935,Y060_08,Y060,ginger,1.0,tsp.,"(chopped, optional)",yummly,1.0,teaspoon,minced ginger,herbs,teaspoon
936,Y060_09,Y060,eggs,2.0,,(whisked with a fork with a generous 3-finger pinch salt),yummly,2.0,unit,egg,egg,unit
937,Y060_10,Y060,fish sauce,3.0,Tbsp.,(or vegan fish sauce),yummly,3.0,tablespoon,fish sauce,sauce / salt,tablespoon
938,Y060_11,Y060,sugar,3.0,Tbsp.,(or brown sugar),yummly,3.0,tablespoon,sugar,sugar / sweeteners / syrup,tablespoon
939,Y060_12,Y060,rice vinegar,3.0,Tbsp.,,yummly,3.0,tablespoon,vinegar,vinegar,tablespoon
940,Y060_13,Y060,soy sauce,2.0,tsp.,(or Braggs),yummly,0.666666666,tablespoon,soy sauce,sauce / salt,tablespoon
941,Y060_14,Y060,chili flakes,,,,yummly,,teaspoon,chili flakes,chili / pepper,teaspoon
942,Y060_15,Y060,bean sprouts,,,,yummly,,cup,bean sprout,vegetable,cup
943,Y060_16,Y060,chili flakes,,,,yummly,,teaspoon,chili flakes,chili / pepper,teaspoon
944,Y060_17,Y060,scallions,,,,yummly,,cup,scallion / spring onion / green onion,vegetable,cup
945,Y060_18,Y060,roasted peanuts,,,,yummly,,tablespoon,peanut,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
946,Y060_19,Y060,lime,,,,yummly,,unit,lime,lime / lemon,unit
947,Y061_00,Y061,rice noodles,8.0,oz.,(flat),yummly,8.0,ounce,rice noodle,noodle / spaghetti,ounce
948,Y061_01,Y061,oil,3.0,Tbsp.,(divided),yummly,3.0,tablespoon,oil,oil,tablespoon
949,Y061_02,Y061,garlic,3.0,cloves,(finely minced),yummly,3.0,clove,garlic,herbs,clove
950,Y061_03,Y061,shrimp,8.0,oz.,"(uncooked, uncooked chicken, cut into bite-size pieces or extra firm tofu, cut into small cubes)",yummly,8.0,ounce,shrimp,meat,ounce
951,Y061_04,Y061,eggs,2.0,,(beaten),yummly,2.0,unit,egg,egg,unit
952,Y061_05,Y061,bean sprouts,1.0,cup,,yummly,1.0,cup,bean sprout,vegetable,cup
953,Y061_06,Y061,red bell pepper,1.0,,(thinly sliced),yummly,1.0,unit,bell pepper,chili / pepper,unit
954,Y061_07,Y061,green onions,3.0,,(chopped),yummly,0.75,cup,scallion / spring onion / green onion,vegetable,cup
955,Y061_08,Y061,peanuts,0.5,cup,(crushed),yummly,8.0,tablespoon,peanut,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
956,Y061_09,Y061,lime wedge,2.0,,(cut into wedges),yummly,2.0,unit,lime wedge,lime / lemon,unit
957,Y061_10,Y061,chopped fresh cilantro,0.5,cup,,yummly,8.0,tablespoon,coriander / cilantro,herbs,tablespoon
958,Y061_11,Y061,fish sauce,3.0,Tbsp.,,yummly,3.0,tablespoon,fish sauce,sauce / salt,tablespoon
959,Y061_12,Y061,light soy sauce,1.0,Tbsp.,,yummly,1.0,tablespoon,soy sauce,sauce / salt,tablespoon
960,Y061_13,Y061,brown sugar,5.0,Tbsp.,,yummly,5.0,tablespoon,brown sugar,sugar / sweeteners / syrup,tablespoon
961,Y061_14,Y061,rice vinegar,2.0,Tbsp.,,yummly,2.0,tablespoon,vinegar,vinegar,tablespoon
962,Y061_15,Y061,sriracha,1.0,Tbsp.,(or more to taste),yummly,1.0,tablespoon,sriracha sauce,sauce / salt,tablespoon
963,Y061_16,Y061,creamy peanut butter,2.0,Tbsp.,(optional),yummly,2.0,tablespoon,peanut butter,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
964,Y062_00,Y062,extra firm tofu,14.0,oz.,,yummly,14.0,ounce,firm tofu,tofu,ounce
965,Y062_01,Y062,brown rice noodles,8.0,oz.,(or white),yummly,8.0,ounce,rice noodle,noodle / spaghetti,ounce
966,Y062_02,Y062,rice paper wrappers,10.0,,"(brown or white, I love Banh Trang brand)",yummly,10.0,inch,rice paper wrappers,rice paper wrappers,inch
967,Y062_03,Y062,sliced carrots,2.0,cups,(thinly),yummly,2.0,cup,carrot,vegetable,cup
968,Y062_04,Y062,fresh cilantro,1.0,handful,,yummly,5.333333333,tablespoon,coriander / cilantro,herbs,tablespoon
969,Y062_05,Y062,tamarind concentrate,3.0,Tbsp.,(I love this brand),yummly,3.0,tablespoon,tamarind concentrate / tamarind paste / tamarind juice,herbs,tablespoon
970,Y062_06,Y062,tamari soy sauce,3.0,Tbsp.,(+ more for tofu),yummly,3.0,tablespoon,soy sauce,sauce / salt,tablespoon
971,Y062_07,Y062,coconut sugar,4.0,Tbsp.,"(or maple syrup, or sub brown sugar or honey if not vegan)",yummly,4.0,tablespoon,sugar,sugar / sweeteners / syrup,tablespoon
972,Y062_08,Y062,lime juice,0.5,,"(juiced, ~1 Tbsp, 15 ml)",yummly,0.5,tablespoon,lime juice,lime / lemon,tablespoon
973,Y062_09,Y062,garlic chili sauce,2.0,tsp.,(I love this brand + more for tofu),yummly,0.666666666,tablespoon,chili garlic sauce,sauce / salt,tablespoon
974,Y062_10,Y062,peanut sauce,,,(/ Almond Sauce / Cashew Sauce),yummly,,tablespoon,peanut sauce,sauce / salt,tablespoon
975,Y062_11,Y062,sriracha,,,,yummly,,tablespoon,sriracha sauce,sauce / salt,tablespoon
976,Y063_00,Y063,noodles,,,(& Veg),yummly,,ounce,rice noodle,noodle / spaghetti,ounce
977,Y063_01,Y063,zucchini,,,,yummly,,unit,zucchini / courgette / baby marrow,vegetable,unit
978,Y063_02,Y063,butternut squash,,,,yummly,,cup,butternut squash,vegetable,cup
979,Y063_03,Y063,carrots,,,(julienne),yummly,,cup,carrot,vegetable,cup
980,Y063_04,Y063,bean sprouts,,,,yummly,,cup,bean sprout,vegetable,cup
981,Y063_05,Y063,sauce,,,(Pad Thai),yummly,,tablespoon,pad thai sauce,sauce / salt,tablespoon
982,Y063_06,Y063,soy sauce,0.25,cup,,yummly,4.0,tablespoon,soy sauce,sauce / salt,tablespoon
983,Y063_07,Y063,maple syrup,0.25,cup,(or Coconut Sugar),yummly,4.0,tablespoon,maple syrup,sugar / sweeteners / syrup,tablespoon
984,Y063_08,Y063,tomato paste,1.0,Tbsp.,,yummly,1.0,tablespoon,tomato paste,sauce / salt,tablespoon
985,Y063_09,Y063,rice vinegar,2.0,Tbsp.,,yummly,2.0,tablespoon,vinegar,vinegar,tablespoon
986,Y063_10,Y063,lime juice,2.0,Tbsp.,,yummly,2.0,tablespoon,lime juice,lime / lemon,tablespoon
987,Y063_11,Y063,sesame oil,2.0,tsp.,,yummly,0.666666666,tablespoon,sesame oil,oil,tablespoon
988,Y063_12,Y063,garlic,1.0,clove,,yummly,1.0,clove,garlic,herbs,clove
989,Y063_13,Y063,chili paste,1.0,tsp.,,yummly,1.0,teaspoon,chili paste,chili / pepper,teaspoon
990,Y063_14,Y063,nutritional yeast,2.0,Tbsp.,,yummly,0.125,cup,yeast,yeast,cup
991,Y063_15,Y063,peanuts,,,,yummly,,tablespoon,peanut,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
992,Y063_16,Y063,sesame seeds,,,,yummly,,tablespoon,sesame,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
993,Y064_00,Y064,rice noodles,1.0,box,(Pad Thai or other),yummly,8.0,ounce,rice noodle,noodle / spaghetti,ounce
994,Y064_01,Y064,frozen vegetables,2.0,bags,"(I used Asian medley OR fresh, if you have time to prepare and steam them)",yummly,24.0,ounce,frozen vegetable,vegetable,ounce
995,Y064_02,Y064,wok oil,1.0,Tbsp.,,yummly,1.0,tablespoon,oil,oil,tablespoon
996,Y064_03,Y064,sesame oil,0.5,tsp.,(Pure),yummly,0.1666666665,tablespoon,sesame oil,oil,tablespoon
997,Y064_04,Y064,chopped garlic,0.5,tsp.,(1 clove),yummly,0.5,clove,garlic,herbs,clove
998,Y064_05,Y064,soy sauce,3.0,Tbsp.,(or gluten-free Tamari),yummly,3.0,tablespoon,soy sauce,sauce / salt,tablespoon
999,Y064_06,Y064,sriracha,2.0,Tbsp.,(or to taste),yummly,2.0,tablespoon,sriracha sauce,sauce / salt,tablespoon
1000,Y064_07,Y064,crushed pineapple,0.5,cup,(can also be tidbits – optional),yummly,8.0,tablespoon,pineapple,fruit / fruit juice,tablespoon
1001,Y064_08,Y064,lime juice,0.5,tsp.,,yummly,0.1666666665,tablespoon,lime juice,lime / lemon,tablespoon
1002,Y064_09,Y064,ground ginger,1.0,dash,,yummly,0.125,teaspoon,ground ginger,herbs,teaspoon
1003,Y065_00,Y065,extra firm tofu,1.0,lb.,"(sliced ½"" thick)",yummly,16.0,ounce,firm tofu,tofu,ounce
1004,Y065_01,Y065,peanut butter,1.0,Tbsp.,,yummly,1.0,tablespoon,peanut butter,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
1005,Y065_02,Y065,soy sauce,3.0,Tbsp.,(or tamari for gluten-free version),yummly,3.0,tablespoon,soy sauce,sauce / salt,tablespoon
1006,Y065_03,Y065,sriracha,2.0,Tbsp.,"(1- ,or other hot sauce/paste)",yummly,2.0,tablespoon,sriracha sauce,sauce / salt,tablespoon
1007,Y065_04,Y065,rice vinegar,2.0,Tbsp.,(plain),yummly,2.0,tablespoon,vinegar,vinegar,tablespoon
1008,Y065_05,Y065,toasted sesame oil,2.0,tsp.,,yummly,0.666666666,tablespoon,sesame oil,oil,tablespoon
1009,Y065_06,Y065,ginger,2.0,tsp.,(freshly grated),yummly,2.0,teaspoon,minced ginger,herbs,teaspoon
1010,Y065_07,Y065,brown rice noodles,8.0,oz.,(or rice noodles),yummly,8.0,ounce,rice noodle,noodle / spaghetti,ounce
1011,Y065_08,Y065,oil,2.0,tsp.,"(divided, I used coconut oil)",yummly,0.666666666,tablespoon,oil,oil,tablespoon
1012,Y065_09,Y065,red pepper,1.0,,(thinly sliced),yummly,1.0,unit,pepper,chili / pepper,unit
1013,Y065_10,Y065,white onion,0.5,,(thinly sliced),yummly,0.5,cup,white onion,onion,cup
1014,Y065_11,Y065,carrots,2.0,,(thinly sliced),yummly,1.333333333,cup,carrot,vegetable,cup
1015,Y065_12,Y065,thai chili,1.0,,(finely chopped),yummly,1.0,unit,thai chili,chili / pepper,unit
1016,Y065_13,Y065,peanuts,0.5,cup,(chopped),yummly,8.0,tablespoon,peanut,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
1017,Y065_14,Y065,cilantro,0.5,cup,(finely chopped),yummly,8.0,tablespoon,coriander / cilantro,herbs,tablespoon
1018,Y065_15,Y065,soy sauce,3.0,Tbsp.,(or tamari for gluten-free version),yummly,3.0,tablespoon,soy sauce,sauce / salt,tablespoon
1019,Y065_16,Y065,fresh lime juice,3.0,Tbsp.,,yummly,3.0,tablespoon,lime juice,lime / lemon,tablespoon
1020,Y065_17,Y065,sriracha,1.0,Tbsp.,"(or other spicy sauce, less if you don't want as much heat)",yummly,1.0,tablespoon,sriracha sauce,sauce / salt,tablespoon
1021,Y065_18,Y065,brown sugar,3.0,Tbsp.,,yummly,3.0,tablespoon,brown sugar,sugar / sweeteners / syrup,tablespoon
1022,Y065_19,Y065,vegetable broth,3.0,Tbsp.,,yummly,0.1875,cup,vegetable broth,broth / stock,cup
1023,Y065_20,Y065,garlic chili paste,1.0,tsp.,,yummly,0.333333333,tablespoon,chili garlic sauce,sauce / salt,tablespoon
1024,Y065_21,Y065,garlic cloves,2.0,,(minced),yummly,2.0,clove,garlic,herbs,clove
1025,Y066_00,Y066,rice noodles,8.0,oz.,"(dried, wide and flat, I found them in the Asian-foods section)",yummly,8.0,ounce,rice noodle,noodle / spaghetti,ounce
1026,Y066_01,Y066,brown sugar,2.0,Tbsp.,,yummly,2.0,tablespoon,brown sugar,sugar / sweeteners / syrup,tablespoon
1027,Y066_02,Y066,fresh lime juice,2.0,Tbsp.,(about 1 lime),yummly,2.0,tablespoon,lime juice,lime / lemon,tablespoon
1028,Y066_03,Y066,soy sauce,3.0,Tbsp.,,yummly,3.0,tablespoon,soy sauce,sauce / salt,tablespoon
1029,Y066_04,Y066,sriracha sauce,1.0,,"(about 1/8 teaspoon Sriracha chili sauce, optional, you can find this in the Asian-foods section. You can add more if you like things super spicy)",yummly,0.041666666625,tablespoon,sriracha sauce,sauce / salt,tablespoon
1030,Y066_05,Y066,vegetable oil,2.0,tsp.,,yummly,0.666666666,tablespoon,vegetable oil,oil,tablespoon
1031,Y066_06,Y066,green onions,3.0,,(white and green parts separated and thinly sliced),yummly,0.75,cup,scallion / spring onion / green onion,vegetable,cup
1032,Y066_07,Y066,garlic clove,1.0,,(minced),yummly,1.0,clove,garlic,herbs,clove
1033,Y066_08,Y066,large eggs,2.0,,(lightly beaten),yummly,2.0,unit,egg,egg,unit
1034,Y066_09,Y066,fresh cilantro,0.5,cup,,yummly,8.0,tablespoon,coriander / cilantro,herbs,tablespoon
1035,Y066_10,Y066,roasted salted peanuts,0.25,cup,(chopped),yummly,4.0,tablespoon,peanut,beans / peas / lentils / nuts / nut butter / seeds,tablespoon
