,recipe_source,recipe_id,recipe_name,recipe_ratings,recipe_ratings_normalized,peanut,garlic,scallion / spring onion / green onion,rice noodle,bean sprout,soy sauce,coriander / cilantro,egg,fish sauce,carrot
17,yummly,Y018,Easy Vegetable Pad Thai,4.5,0.5248736998514116,5.333333328,6.0,0.5,8.0,2.0,,0.5,,,1.333333333
18,yummly,Y019,Pad Thai Noodles,4.0,0.46237369985141163,3.0,4.0,,6.0,0.333333333,4.0,,2.0,1.333333332,
19,yummly,Y020,Easy Pad Thai,3.5,0.39987369985141163,2.0,2.0,,16.01437784,,,8.0,2.0,1.0,
20,yummly,Y021,Quick Shrimp Pad Thai,2.67,0.2961236998514116,4.0,3.0,1.0,8.0,1.0,,,2.0,2.0,
21,yummly,Y022,Easy Vegan Pad Thai,2.0,0.21237369985141163,,4.0,1.5,8.0,,,8.0,,,
22,yummly,Y023,Paleo Chicken Pad Thai,4.0,0.46237369985141163,8.0,5.0,1.25,,2.0,3.0,5.0,,3.0,1.333333333
23,yummly,Y024,Street Pad Thai,3.5,0.39987369985141163,,1.0,,16.01437784,,,,,,2.0
24,yummly,Y025,Best Shrimp Pad Thai,3.5,0.39987369985141163,4.0,2.0,,3.527396,1.0,2.0,,2.0,2.0,
25,yummly,Y026,Healthy Pad Thai,5.0,0.5873736998514116,,,,5.0,1.0,1.0,4.0,,1.5,0.5
26,yummly,Y027,Lean Tofu Pad Thai,2.0,0.21237369985141163,2.0,,0.5,8.0,1.0,,4.0,,2.0,1.0
27,yummly,Y028,Pad Thai,5.0,0.5873736998514116,2.0,4.0,1.25,8.0,1.0,,,2.0,3.0,
28,yummly,Y029,Pad Thai,4.0,0.46237369985141163,6.0,3.0,0.25,7.0,3.0,,4.0,3.0,4.0,
29,yummly,Y030,Pad Thai,1.0,0.08737369985141163,4.0,,,4.0,2.0,,8.0,1.0,2.0,
30,yummly,Y031,Pad Thai with Shirataki Noodles/Miracle Noodles,3.75,0.43112369985141163,5.333333328,,0.25,,,,,2.0,,
31,yummly,Y032,Pad Thai Noodles,1.0,0.08737369985141163,2.0,,,7.054792,,,0.1666666665,2.0,2.0,
32,yummly,Y033,Making Pad Thai,5.0,0.5873736998514116,18.0,2.666666667,,4.0,,1.0,,2.0,,
33,yummly,Y034,Super Healthy and Zesty Raw-Vegan Pad Thai [Gluten-Free],5.0,0.5873736998514116,,1.0,0.5,,2.0,,,,,1.333333333
34,yummly,Y035,Vegetable and Tofu Pad Thai,5.0,0.5873736998514116,,2.0,2.0,8.0,,,0.125,2.0,,1.333333333
35,yummly,Y036,Saucy Skillet Pad Thai with Chicken,5.0,0.5873736998514116,2.0,1.0,0.25,8.0,,2.0,0.333333333,2.0,2.0,
36,yummly,Y037,Chicken Pad Thai,4.38,0.5098736998514116,2.0,2.0,1.0,10.0,,8.0,4.0,3.0,1.0,1.5
37,yummly,Y038,Pad Thai,3.0,0.33737369985141163,8.0,,,5.0,,3.0,4.0,1.0,1.5,
38,yummly,Y039,Perfect Beginner's Pad Thai,4.0,0.46237369985141163,2.0,2.0,,4.2328752,2.0,5.333333328,5.333333328,2.0,4.002,
39,yummly,Y040,Weeknight Pad Thai,4.25,0.49362369985141163,6.0,,1.5,8.0,1.0,4.0,,4.0,,
40,yummly,Y041,Pad Thai Classic Stir-Fried Noodles,5.0,0.5873736998514116,5.333333328,3.0,0.75,,0.881849768,,,3.0,2.0,
41,yummly,Y042,Instant Pot Chicken Pad Thai,4.24,0.49237369985141166,16.0,4.0,1.0,4.0,2.0,,,,2.0,1.0
42,yummly,Y043,PAD THAI SAUCE,5.0,0.5873736998514116,5.333333328,,,,2.0,,8.0,,,
43,yummly,Y044,Vegan Pad Thai,5.0,0.5873736998514116,,4.0,0.75,12.5,,2.0,5.333333328,,,1.333333333
44,yummly,Y045,Spaghetti Squash Pad Thai,4.0,0.46237369985141163,8.0,2.0,1.0,,,3.0,,2.0,,
45,yummly,Y046,Chicken Pad Thai,4.67,0.5461236998514116,2.0,4.0,,7.054792,,5.333333328,,,2.0,
46,yummly,Y047,Pad Thai,5.0,0.5873736998514116,2.0,3.0,1.5,8.81849,0.5,3.0,,,0.1666666665,
47,yummly,Y048,Chicken Pad Thai,5.0,0.5873736998514116,6.0,2.0,0.5,12.0,0.0625,4.0,,3.0,,1.0
48,yummly,Y049,Easy Chicken Pad Thai,4.5,0.5248736998514116,,,0.25,,1.763699536,,1.05,1.0,,
49,yummly,Y050,Healthy Pad Thai,4.0,0.46237369985141163,4.0,2.0,,3.527396,2.0,0.1666666665,,1.0,,
50,yummly,Y051,Vegetable Ramen Pad Thai,4.21,0.48862369985141163,,,,,,,,,0.666666666,
51,yummly,Y052,Easy Vegan Pad Thai,4.22,0.4898736998514116,,2.0,,10.0,,6.0,,,,
52,yummly,Y053,Chicken Pad Thai,5.0,0.5873736998514116,,0.5,0.125,4.409245,,,,1.0,,
53,yummly,Y054,Vegan Pad Thai,4.0,0.46237369985141163,2.0,3.0,0.75,8.0,,,,,2.0,1.333333333
54,yummly,Y055,Healthy Chicken Pad Thai,4.71,0.5511236998514116,,2.0,0.25,5.0,0.5,,,2.0,,2.0
55,yummly,Y056,30-Minute Vegan Pad Thai,5.0,0.5873736998514116,5.333333328,3.0,1.0,8.0,1.0,4.0,,,4.0,2.0
56,yummly,Y057,Vegan Pad Thai,1.0,0.08737369985141163,5.333333328,1.0,0.25,3.5,1.0,,,,,
