,recipe_id,recipe_name,recipe_creator_name,recipe_ratings,recipe_num_of_reviewers,recipe_num_saved,recipe_link
0,17,Zoodle Pad Thai,WHITE ON RICE COUPLE,5,1,601,https://www.yummly.com/recipe/Zoodle-Pad-Thai-682706
0,18,Easy Vegetable Pad Thai,VEGGIE BELLY,4.5,2,507,https://www.yummly.com/recipe/Easy-Vegetable-Pad-Thai-1030393
0,19,Pad Thai Noodles,VENTURISTS,4,1,285,https://www.yummly.com/recipe/Pad-Thai-Noodles-1367140
0,20,Easy Pad Thai,COOK WITH CAMPBELL'S,3.5,2,102,https://www.yummly.com/recipe/Easy-Pad-Thai-2545751
0,21,Quick Shrimp Pad Thai,FOOD AND WINE,2.67,3,880,https://www.yummly.com/recipe/Quick-Shrimp-Pad-Thai-1095426
0,22,Easy Vegan Pad Thai,VEGKITCHEN,2,1,443,https://www.yummly.com/recipe/Easy-Vegan-Pad-Thai-574865
0,23,Paleo Chicken Pad Thai,THE PALEO MOM,4,3,367,https://www.yummly.com/recipe/Paleo-Chicken-Pad-Thai-1081469
0,24,Street Pad Thai,ONE GREEN PLANET,3.5,2,211,https://www.yummly.com/recipe/Street-Pad-Thai-1015085
0,25,Best Shrimp Pad Thai,LEELALICIOUS,3.5,2,641,https://www.yummly.com/recipe/Best-Shrimp-Pad-Thai-2592410
0,26,Healthy Pad Thai,CHOOSING CHIA,5,1,160,https://www.yummly.com/recipe/Healthy-Pad-Thai-2212636
0,27,Lean Tofu Pad Thai,CLEAN EATING,2,2,244,https://www.yummly.com/recipe/Lean-Tofu-Pad-Thai-490414
0,28,Pad Thai,12TOMATOES,5,1,71,https://www.yummly.com/recipe/Pad-Thai-635238
0,29,Pad Thai,WILLIAMS-SONOMA,4,2,672,https://www.yummly.com/recipe/Pad-Thai-2269060
0,30,Pad Thai,TASTEMADE,1,1,12,https://www.yummly.com/recipe/Pad-Thai-1981374
0,31,Pad Thai with Shirataki Noodles/Miracle Noodles,OH TASTE N SEE...,3.75,4,477,https://www.yummly.com/recipe/Pad-Thai-with-Shirataki-Noodles_Miracle-Noodles-574255
0,32,Pad Thai Noodles,FINE DINING LOVERS,1,1,42,https://www.yummly.com/recipe/Pad-Thai-Noodles-601282
0,33,Making Pad Thai,SHE SIMMERS,5,1,22,https://www.yummly.com/recipe/Making-Pad-Thai-1854348
0,34,Super Healthy and Zesty Raw-Vegan Pad Thai [Gluten-Free],ONE GREEN PLANET,5,2,1000,https://www.yummly.com/recipe/Super-Healthy-and-Zesty-Raw-Vegan-Pad-Thai-_Gluten-Free_-1040045
0,35,Vegetable and Tofu Pad Thai,MARTHA STEWART,5,2,261,https://www.yummly.com/recipe/Vegetable-and-Tofu-Pad-Thai-Martha-Stewart-239890
0,36,Saucy Skillet Pad Thai with Chicken,CLEAN EATING,5,1,52,https://www.yummly.com/recipe/Saucy-Skillet-Pad-Thai-with-Chicken-2356995
0,37,Chicken Pad Thai,COOKING CLASSY,4.38,116,26000,https://www.yummly.com/recipe/Chicken-Pad-Thai-2213155
0,38,Pad Thai,BON APPÉTIT,3,1,5000,https://www.yummly.com/recipe/Pad-Thai-2502731
0,39,Perfect Beginner's Pad Thai,THE GUARDIAN,4,1,89,https://www.yummly.com/recipe/Perfect-Beginner_s-Pad-Thai-1424472
0,40,Weeknight Pad Thai,BON APPÉTIT,4.25,4,880,https://www.yummly.com/recipe/Weeknight-Pad-Thai-2371456
0,41,Pad Thai Classic Stir-Fried Noodles,MARTHA STEWART,5,1,100,https://www.yummly.com/recipe/Pad-Thai-Classic-Stir-Fried-Noodles-528502
0,42,Instant Pot Chicken Pad Thai,THE GIRL ON BLOOR,4.24,45,7000,https://www.yummly.com/recipe/Instant-Pot-Chicken-Pad-Thai-2376371
0,43,PAD THAI SAUCE,RACHEL SCHULTZ,5,3,260,https://www.yummly.com/recipe/PAD-THAI-SAUCE-2696164
0,44,Vegan Pad Thai,BIANCA ZAPATKA,5,1,720,https://www.yummly.com/recipe/Vegan-Pad-Thai-9004175
0,45,Spaghetti Squash Pad Thai,THE KITCHN,4,1,352,https://www.yummly.com/recipe/Spaghetti-Squash-Pad-Thai-2320519
0,46,Chicken Pad Thai,FUN FOOD AND FROLIC,4.67,3,1000,https://www.yummly.com/recipe/Chicken-Pad-Thai-2469937
0,47,Pad Thai,DIABETES UK,5,1,158,https://www.yummly.com/recipe/Pad-Thai-1970969
0,48,Chicken Pad Thai,GARNISH AND GLAZE,5,1,131,https://www.yummly.com/recipe/Chicken-Pad-Thai-2509427
0,49,Easy Chicken Pad Thai,OLD HOUSE TO NEW HOME,4.5,4,210,https://www.yummly.com/recipe/Easy-Chicken-Pad-Thai-2445092
0,50,Healthy Pad Thai,LOSE BABY WEIGHT,4,2,828,https://www.yummly.com/recipe/Healthy-Pad-Thai-1471949
0,51,Vegetable Ramen Pad Thai,TABLESPOON,4.21,126,68000,https://www.yummly.com/recipe/Vegetable-Ramen-Pad-Thai-2067502
0,52,Easy Vegan Pad Thai,PETA,4.22,9,2000,https://www.yummly.com/recipe/Easy-Vegan-Pad-Thai-1552176
0,53,Chicken Pad Thai,AWESOME CUISINE,5,1,114,https://www.yummly.com/recipe/Chicken-Pad-Thai-1427707
0,54,Vegan Pad Thai,EAT WITH CLARITY,4,2,409,https://www.yummly.com/recipe/Vegan-Pad-Thai-9262223
0,55,Healthy Chicken Pad Thai,THE CLEAN EATING COUPLE,4.71,21,4000,https://www.yummly.com/recipe/Healthy-Chicken-Pad-Thai-2575729
