,recipe_id,recipe_name,recipe_creator_name,recipe_ratings,recipe_num_saved,recipe_link
76,77,Healthy Chicken Pad Thai Meal Prep,Fit Men Cook,3.75,2000,https://www.yummly.com/recipe/Healthy-Chicken-Pad-Thai-Meal-Prep-2301073
77,78,Chicken Pad Thai,BigOven,4.0,67,https://www.yummly.com/recipe/Chicken-Pad-Thai-2061820
78,79,10-minute pad Thai,BBC Good Food,4.0,281,https://www.yummly.com/recipe/10-minute-pad-Thai-432466
79,80,Instant Pot Pad Thai Stir Fry,Hummusapien,4.75,593,https://www.yummly.com/recipe/Instant-Pot-Pad-Thai-Stir-Fry-2640626
80,81,10 Minute Shrimp Zoodle Pad Thai,Gimmedelicious,4.0,1000,https://www.yummly.com/recipe/10-Minute-Shrimp-Zoodle-Pad-Thai-9147194
81,82,Pad Thai,Tiffy Cooks,2.0,6,https://www.yummly.com/recipe/Pad-Thai-9830644
82,83,Pad Thai,Fried Dandelions,5.0,50,https://www.yummly.com/recipe/Pad-Thai-2318458
83,84,Pad Thai,The Whole Food Plant Based Cooking Show,1.0,69,https://www.yummly.com/recipe/Pad-Thai-9090775
84,85,Pad Thai,BBC,4.0,31,https://www.yummly.com/recipe/Pad-Thai-2346837
85,86,Pad Thai,Marcus Samuelsson,1.0,27,https://www.yummly.com/recipe/Pad-Thai-1713142
86,87,Easy Pad Thai,Evolving Table,4.0,81,https://www.yummly.com/recipe/Easy-Pad-Thai-9745581
87,88,Paleo Pad Thai with Zucchini Noodles,Paleo Grubs,5.0,290,https://www.yummly.com/recipe/Paleo-Pad-Thai-with-Zucchini-Noodles-1164963
88,89,Shrimp Pad Thai,Rasa Malaysia,4.0,24,https://www.yummly.com/recipe/Shrimp-Pad-Thai-2554773
89,90,Spaghetti Squash Pad Thai,A Couple Cooks,4.6,1000,https://www.yummly.com/recipe/Spaghetti-Squash-Pad-Thai-1957417
90,91,"""Cheater"" Pad Thai",Happy Herbivore,2.0,106,https://www.yummly.com/recipe/_Cheater_-Pad-Thai-2121877
91,92,Prawn pad Thai,Healthy Food Guide,5.0,46,https://www.yummly.com/recipe/Prawn-pad-Thai-2059050
92,93,Shrimp Pad Thai,A Day In The Kitchen,4.0,84,https://www.yummly.com/recipe/Shrimp-Pad-Thai-2511725
93,94,Healthy Shrimp Pad Thai,Well Plated,2.0,226,https://www.yummly.com/recipe/Healthy-Shrimp-Pad-Thai-2534236
94,95,Vegan Pad Thai,In the kitch,5.0,49,https://www.yummly.com/recipe/Vegan-Pad-Thai-9024902
95,96,Chicken Pad Thai,Pass the Sushi,4.0,86,https://www.yummly.com/recipe/Chicken-Pad-Thai-2642807
96,97,Cheater Pad Thai,Steamy Kitchen,5.0,857,https://www.yummly.com/recipe/Cheater-Pad-Thai-2314605
97,98,Paleo Pad Thai,Laine Fitness,4.0,75,https://www.yummly.com/recipe/Paleo-Pad-Thai-1862125
98,99,Tofu Pad Thai,Asian Caucasian,4.0,71,https://www.yummly.com/recipe/Tofu-Pad-Thai-1518569
99,100,Chicken Pad Thai,Rasa Malaysia,5.0,19,https://www.yummly.com/recipe/Chicken-Pad-Thai-9191976
100,101,Vegan Pad Thai,Nadia the Good Food Cook,4.0,48,https://www.yummly.com/recipe/Vegan-Pad-Thai-1498688
101,102,Pad Thai Sauce,One Ingredient Chef,5.0,9,https://www.yummly.com/recipe/Pad-Thai-Sauce-2444845
102,103,Pad Thai Noodles,The Wicked Noodle,5.0,37,https://www.yummly.com/recipe/Pad-Thai-Noodles-1032847
